"SampleDate.SampleEvent","Name.Site","Latitude.Site","Longitude.Site","EcosystemType.Site","Type.OrganismStoichiometry","TaxonomicKingdom.OrganismStoichiometry","order","family","genus","invertebrateLifeStage","OrganismSizeNotes.OrganismStoichiometry","C","CarbonUnits.OrganismStoichiometry","N","NitrogenUnits.OrganismStoichiometry","P","PhosphorusUnits.OrganismStoichiometry","CN","CP","NP","siteID"
2022-07-06,"walker branch neon",35.956053,-84.278692,"Stream","Insecta","Animalia","Plecoptera","Chloroperlidae","Sweltsa","larva",,52.5,"percent_dm",8.4,"percent_dm",0.25,"percent_dm",7.29166667,542.5,74.4,"WALK"
2022-07-05,"como creek neon",40.033463,-105.541431,"Stream","Insecta","Animalia","Trichoptera","Rhyacophilidae","Rhyacophila","larva",,53.1,"percent_dm",10.9,"percent_dm",,,5.68348624,,,"COMO"
2022-07-05,"como creek neon",40.033463,-105.541431,"Stream","Insecta","Animalia","Trichoptera",,,"pupa",,49.8,"percent_dm",10.2,"percent_dm",0.55,"percent_dm",5.69607843,233.90909091,41.06493506,"COMO"
2022-07-05,"como creek neon",40.033463,-105.541431,"Stream","Insecta","Animalia","Plecoptera","Chloroperlidae","Sweltsa","larva",,51.4,"percent_dm",8.7,"percent_dm",0.68,"percent_dm",6.89272031,195.26960784,28.32983193,"COMO"
2022-07-05,"como creek neon",40.033463,-105.541431,"Stream","Insecta","Animalia","Ephemeroptera","Heptageniidae","Cingymula","larva",,37.5,"percent_dm",5.9,"percent_dm",,,7.41525424,,,"COMO"
2022-07-02,"mayfield creek neon",32.961588,-87.408223,"Stream","Insecta","Animalia","Hemiptera","Veliidae","Rhagovelia",,,48.8,"percent_dm",10.9,"percent_dm",,,5.22324159,,,"MAYF"
2022-06-30,"west st louis creek neon",39.891161,-105.914011,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Heterlimnius","larva",,50.4,"percent_dm",9.9,"percent_dm",,,5.93939394,,,"WLOU"
2022-06-30,"west st louis creek neon",39.891161,-105.914011,"Stream","Insecta","Animalia","Ephemeroptera","Baetidae","Baetis","larva",,53.5,"percent_dm",7.6,"percent_dm",,,8.2127193,,,"WLOU"
2022-06-30,"west st louis creek neon",39.891161,-105.914011,"Stream","Insecta","Animalia","Ephemeroptera","Heptageniidae","Cingymula","larva",,41.1,"percent_dm",4.6,"percent_dm",,,10.42391304,,,"WLOU"
2022-06-29,"caribou creek neon",65.15308,-147.501997,"Stream","Insecta","Animalia","Diptera","Simuliidae","Prosimulium","larva",,49.1,"percent_dm",9,"percent_dm",,,6.36481481,,,"CARI"
2022-06-29,"caribou creek neon",65.15308,-147.501997,"Stream","Insecta","Animalia","Ephemeroptera","Baetidae","Baetis","larva","average of all individuals",45,"percent_dm",7.2,"percent_dm",0.4,"percent_dm",7.29166667,290.625,39.85714286,"CARI"
2022-06-29,"caribou creek neon",65.15308,-147.501997,"Stream","Insecta","Animalia","Plecoptera","Nemouridae","Zapada","larva",,42.8,"percent_dm",5.3,"percent_dm",,,9.42138365,,,"CARI"
2022-06-28,"rio yahuecas neon",18.174359,-66.800063,"Stream","Insecta","Animalia","Lepidoptera","Crambidae","Petrophila","larva","average of all individuals",44.6,"percent_dm",10.8,"percent_dm",0.747,"percent_dm",4.81790123,154.23917894,32.01376936,"GUIL"
2022-06-28,"rio yahuecas neon",18.174359,-66.800063,"Stream","Insecta","Animalia","Trichoptera",,,"pupa",,51.9,"percent_dm",11.7,"percent_dm",0.3,"percent_dm",5.17521368,446.91666667,86.35714286,"GUIL"
2022-06-28,"rio yahuecas neon",18.174359,-66.800063,"Stream","Insecta","Animalia","Odonata","Libellulidae",,"larva","average of all individuals",46,"percent_dm",10,"percent_dm",0.74,"percent_dm",5.36666667,160.58558559,29.92277992,"GUIL"
2022-06-28,"rio yahuecas neon",18.174359,-66.800063,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Hexacylloepus","larva",,47.5,"percent_dm",10,"percent_dm",0.26,"percent_dm",5.54166667,471.95512821,85.16483516,"GUIL"
2022-06-28,"rio yahuecas neon",18.174359,-66.800063,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Hexacylloepus","adult","average of all individuals",49.5,"percent_dm",10.3,"percent_dm",0.308,"percent_dm",5.60679612,415.17857143,74.04916512,"GUIL"
2022-06-28,"rio yahuecas neon",18.174359,-66.800063,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Neoelmis","adult",,49.1,"percent_dm",9.9,"percent_dm",0.286,"percent_dm",5.78619529,443.502331,76.64835165,"GUIL"
2022-06-28,"rio yahuecas neon",18.174359,-66.800063,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Neoelmis","larva",,46.9,"percent_dm",8.4,"percent_dm",0.284,"percent_dm",6.51388889,426.61384977,65.49295775,"GUIL"
2022-06-28,"rio yahuecas neon",18.174359,-66.800063,"Stream","Insecta","Animalia","Trichoptera","Hydrobiosidae","Atopsyche","larva",,50.9,"percent_dm",8.8,"percent_dm",0.36,"percent_dm",6.74810606,365.25462963,54.12698413,"GUIL"
2022-06-28,"rio yahuecas neon",18.174359,-66.800063,"Stream","Insecta","Animalia","Ephemeroptera","Leptophlebiidae","Neohagenulus","larva","average of all individuals",45.8,"percent_dm",6.9,"percent_dm",0.29,"percent_dm",7.74396135,407.98850575,52.68472906,"GUIL"
2022-06-09,"oksrukuyik creek neon",68.669308,-149.144107,"Stream","Insecta","Animalia","Plecoptera","Nemouridae","Nemoura","larva","average of all individuals",53.8,"percent_dm",6.8,"percent_dm",0.405,"percent_dm",9.23039216,343.16872428,37.17813051,"OKSR"
2022-06-01,"sycamore creek neon",33.750886,-111.508124,"Stream","Insecta","Animalia","Diptera","Chironomidae",,"larva",,48.2,"percent_dm",9.3,"percent_dm",0.55,"percent_dm",6.04659498,226.39393939,37.44155844,"SYCA"
2022-05-19,"caribou creek neon",65.15308,-147.501997,"Stream","Insecta","Animalia","Diptera","Chironomidae",,"larva",,52,"percent_dm",10.5,"percent_dm",0.65,"percent_dm",5.77777778,206.66666667,35.76923077,"CARI"
2022-05-19,"caribou creek neon",65.15308,-147.501997,"Stream","Insecta","Animalia","Diptera","Simuliidae","Prosimulium","larva","average of all individuals",50,"percent_dm",9.8,"percent_dm",0.557,"percent_dm",5.95238095,231.89706762,38.95870736,"CARI"
2022-04-20,"red butte creek neon",40.784627,-111.796265,"Stream","Insecta","Animalia","Plecoptera","Taeniopterygidae","Taenionema","larva",,64.7,"percent_dm",3.8,"percent_dm",0.72,"percent_dm",19.86403509,232.1412037,11.68650794,"REDB"
2022-04-20,"red butte creek neon",40.784627,-111.796265,"Stream","Insecta","Animalia","Trichoptera","Hydropsychidae","Hydropsyche","larva",,52.9,"percent_dm",9.1,"percent_dm",,,6.78205128,,,"REDB"
2022-04-20,"red butte creek neon",40.784627,-111.796265,"Stream","Insecta","Animalia","Trichoptera","Brachycentridae","Micrasema","larva",,50.9,"percent_dm",7.3,"percent_dm",,,8.1347032,,,"REDB"
2022-04-20,"red butte creek neon",40.784627,-111.796265,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Heterlimnius","larva",,50.8,"percent_dm",7,"percent_dm",,,8.46666667,,,"REDB"
2022-04-20,"red butte creek neon",40.784627,-111.796265,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Cleptelmis","adult",,52.5,"percent_dm",9.6,"percent_dm",,,6.38020833,,,"REDB"
2022-04-20,"red butte creek neon",40.784627,-111.796265,"Stream","Insecta","Animalia","Diptera","Limoniidae","Antocha","larva",,47.2,"percent_dm",6.8,"percent_dm",,,8.09803922,,,"REDB"
2022-04-20,"red butte creek neon",40.784627,-111.796265,"Stream","Insecta","Animalia","Ephemeroptera","Baetidae","Baetis","larva","average of all individuals",52.1,"percent_dm",7.1,"percent_dm",0.53,"percent_dm",8.56103286,253.9465409,29.66307278,"REDB"
2022-04-20,"red butte creek neon",40.784627,-111.796265,"Stream","Insecta","Animalia","Diptera","Chironomidae",,"pupa",,58.7,"percent_dm",10.8,"percent_dm",,,6.34104938,,,"REDB"
2022-04-20,"red butte creek neon",40.784627,-111.796265,"Stream","Insecta","Animalia","Diptera","Chironomidae",,"larva","average of all individuals",47.1,"percent_dm",9.1,"percent_dm",0.49,"percent_dm",6.03846154,248.3163265,41.12244898,"REDB"
2022-04-20,"red butte creek neon",40.784627,-111.796265,"Stream","Insecta","Animalia","Plecoptera","Nemouridae","Zapada","larva",,57.5,"percent_dm",6.7,"percent_dm",,,10.01243781,,,"REDB"
2022-04-20,"red butte creek neon",40.784627,-111.796265,"Stream","Insecta","Animalia","Trichoptera","Uenoidae","Oligophlebodes","larva",,52.2,"percent_dm",4.9,"percent_dm",,,12.42857143,,,"REDB"
2022-04-20,"red butte creek neon",40.784627,-111.796265,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Cleptelmis","larva",,49.7,"percent_dm",8.3,"percent_dm",,,6.98594377,,,"REDB"
2022-04-18,"martha creek neon",45.79233,-121.929416,"Stream","Insecta","Animalia","Trichoptera","Hydropsychidae","Hydropsyche","larva",,54.5,"percent_dm",9.4,"percent_dm",,,6.7641844,,,"MART"
2022-04-18,"martha creek neon",45.79233,-121.929416,"Stream","Insecta","Animalia","Ephemeroptera","Heptageniidae","Cinygmula","larva",,54,"percent_dm",4.6,"percent_dm",,,13.69565217,,,"MART"
2022-04-18,"martha creek neon",45.79233,-121.929416,"Stream","Insecta","Animalia","Plecoptera","Chloroperlidae","Plumiperla","larva",,52.9,"percent_dm",7.2,"percent_dm",,,8.57175926,,,"MART"
2022-04-18,"martha creek neon",45.79233,-121.929416,"Stream","Insecta","Animalia","Ephemeroptera","Ephemerellidae",,"larva",,49.8,"percent_dm",8.7,"percent_dm",,,6.67816092,,,"MART"
2022-04-18,"martha creek neon",45.79233,-121.929416,"Stream","Insecta","Animalia","Ephemeroptera","Baetidae","Baetis","larva",,53.5,"percent_dm",8,"percent_dm",,,7.80208333,,,"MART"
2022-04-18,"martha creek neon",45.79233,-121.929416,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Heterlimnius","larva",,49,"percent_dm",9.6,"percent_dm",,,5.95486111,,,"MART"
2022-04-18,"martha creek neon",45.79233,-121.929416,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Narpus","larva",,51.3,"percent_dm",9.3,"percent_dm",,,6.43548387,,,"MART"
2022-04-18,"martha creek neon",45.79233,-121.929416,"Stream","Insecta","Animalia","Ephemeroptera","Leptophlebiidae",,"larva",,42.1,"percent_dm",5.7,"percent_dm",,,8.61695906,,,"MART"
2022-04-18,"martha creek neon",45.79233,-121.929416,"Stream","Insecta","Animalia","Ephemeroptera","Heptageniidae","Epeorus","larva",,52.7,"percent_dm",6.8,"percent_dm",,,9.04166667,,,"MART"
2022-04-18,"upper big creek neon",37.061924,-119.258304,"Stream","Insecta","Animalia","Diptera","Limoniidae","Hexatoma","larva",,49.6,"percent_dm",12.1,"percent_dm",,,4.78236915,,,"BIGC"
2022-04-18,"upper big creek neon",37.061924,-119.258304,"Stream","Insecta","Animalia","Plecoptera","Perlidae","Calineuria","larva",,51.1,"percent_dm",11.2,"percent_dm",,,5.32291667,,,"BIGC"
2022-04-18,"upper big creek neon",37.061924,-119.258304,"Stream","Insecta","Animalia","Diptera","Chironomidae",,"larva",,50.1,"percent_dm",10.6,"percent_dm",,,5.51415094,,,"BIGC"
2022-04-18,"upper big creek neon",37.061924,-119.258304,"Stream","Insecta","Animalia","Diptera","Ceratopogonidae",,"larva",,53.1,"percent_dm",10.5,"percent_dm",,,5.9,,,"BIGC"
2022-04-18,"upper big creek neon",37.061924,-119.258304,"Stream","Insecta","Animalia","Trichoptera","Hydropsychidae","Hydropsyche","larva",,50.3,"percent_dm",9.8,"percent_dm",,,5.98809524,,,"BIGC"
2022-04-18,"upper big creek neon",37.061924,-119.258304,"Stream","Insecta","Animalia","Ephemeroptera","Ephemerellidae","Ephemerella","larva",,48.1,"percent_dm",6.8,"percent_dm",,,8.25245098,,,"BIGC"
2022-04-11,"lower hop brook neon",42.471373,-72.326803,"Stream","Insecta","Animalia","Trichoptera",,,"pupa",,50.8,"percent_dm",13.6,"percent_dm",,,4.35784314,,,"HOPB"
2022-04-11,"lower hop brook neon",42.471373,-72.326803,"Stream","Insecta","Animalia","Diptera","Limoniidae","Hexatoma","larva",,49,"percent_dm",12.2,"percent_dm",,,4.68579235,,,"HOPB"
2022-04-11,"lower hop brook neon",42.471373,-72.326803,"Stream","Insecta","Animalia","Plecoptera","Chloroperlidae","Alloperla","larva",,49.3,"percent_dm",10.5,"percent_dm",,,5.47777778,,,"HOPB"
2022-04-11,"lower hop brook neon",42.471373,-72.326803,"Stream","Insecta","Animalia","Plecoptera","Perlidae","Acroneuria","larva",,50.8,"percent_dm",10.6,"percent_dm",0.527,"percent_dm",5.59119497,249.01960784,44.53781513,"HOPB"
2022-04-11,"lower hop brook neon",42.471373,-72.326803,"Stream","Insecta","Animalia","Plecoptera","Perlidae","Agnetina","larva",,51.7,"percent_dm",10.3,"percent_dm",0.39,"percent_dm",5.85598706,342.45726496,58.47985348,"HOPB"
2022-04-11,"lower hop brook neon",42.471373,-72.326803,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Oulimnius","larva",,49.6,"percent_dm",8.4,"percent_dm",,,6.88888889,,,"HOPB"
2022-04-11,"lower hop brook neon",42.471373,-72.326803,"Stream","Insecta","Animalia","Ephemeroptera","Baetidae","Acerpenna","larva",,50.7,"percent_dm",8.2,"percent_dm",,,7.21341463,,,"HOPB"
2022-04-11,"lower hop brook neon",42.471373,-72.326803,"Stream","Insecta","Animalia","Ephemeroptera","Heptageniidae","Epeorus","larva","average of all individuals",55.7,"percent_dm",8.9,"percent_dm",0.394,"percent_dm",7.30149813,365.2072758,50.01812908,"HOPB"
2022-04-11,"lower hop brook neon",42.471373,-72.326803,"Stream","Insecta","Animalia","Trichoptera","Hydropsychidae","Cheumatopsyche","larva",,49.8,"percent_dm",7,"percent_dm",0.26,"percent_dm",8.3,494.80769231,59.61538462,"HOPB"
2022-04-11,"lower hop brook neon",42.471373,-72.326803,"Stream","Insecta","Animalia","Ephemeroptera","Ephemerellidae","Ephemerella","larva",,47.7,"percent_dm",6.7,"percent_dm",0.26,"percent_dm",8.30597015,473.94230769,57.06043956,"HOPB"
2022-04-11,"lower hop brook neon",42.471373,-72.326803,"Stream","Insecta","Animalia","Trichoptera","Uenoidae","Neophylax","larva",,58.7,"percent_dm",4.8,"percent_dm",,,14.26736111,,,"HOPB"
2022-04-05,"sycamore creek neon",33.750886,-111.508124,"Stream","Insecta","Animalia","Diptera","Ceratopogonidae",,"larva",,52.4,"percent_dm",9.8,"percent_dm",,,6.23809524,,,"SYCA"
2022-03-29,"leconte creek neon",35.692201,-83.504427,"Stream","Insecta","Animalia","Plecoptera","Pteronarcyidae","Pteronarcys","larva",,51.6,"percent_dm",7.1,"percent_dm",1.26,"percent_dm",8.47887324,105.7936508,12.47732426,"LECO"
2022-03-29,"leconte creek neon",35.692201,-83.504427,"Stream","Insecta","Animalia","Plecoptera","Perlidae","Acroneuria","larva",,51.6,"percent_dm",6.8,"percent_dm",0.39,"percent_dm",8.85294118,341.7948718,38.60805861,"LECO"
2022-03-29,"leconte creek neon",35.692201,-83.504427,"Stream","Insecta","Animalia","Plecoptera","Perlodidae",,"larva",,52.6,"percent_dm",9.9,"percent_dm",,,6.1986532,,,"LECO"
2022-03-29,"leconte creek neon",35.692201,-83.504427,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Oulimnius","larva",,54.9,"percent_dm",5.6,"percent_dm",,,11.4375,,,"LECO"
2022-03-29,"leconte creek neon",35.692201,-83.504427,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Optioservus","larva",,46.3,"percent_dm",7.5,"percent_dm",,,7.20222222,,,"LECO"
2022-03-29,"leconte creek neon",35.692201,-83.504427,"Stream","Insecta","Animalia","Ephemeroptera","Heptageniidae","Maccaffertium","larva",,50.1,"percent_dm",6,"percent_dm",,,9.74166667,,,"LECO"
2022-03-29,"leconte creek neon",35.692201,-83.504427,"Stream","Insecta","Animalia","Ephemeroptera","Heptageniidae","Epeorus","larva","average of all individuals",52.9,"percent_dm",7.3,"percent_dm",0.22,"percent_dm",8.4543379,621.1742424,73.47402597,"LECO"
2022-03-29,"leconte creek neon",35.692201,-83.504427,"Stream","Insecta","Animalia","Coleoptera","Psephenidae","Ectopria","larva",,54.6,"percent_dm",6.4,"percent_dm",,,9.953125,,,"LECO"
2022-03-29,"leconte creek neon",35.692201,-83.504427,"Stream","Insecta","Animalia","Diptera","Chironomidae",,"larva",,51.1,"percent_dm",9.2,"percent_dm",0.32,"percent_dm",6.48007246,412.5260417,63.66071429,"LECO"
2022-03-29,"leconte creek neon",35.692201,-83.504427,"Stream","Insecta","Animalia","Ephemeroptera","Heptageniidae","Cinygmula","larva",,56.8,"percent_dm",3.7,"percent_dm",,,17.90990991,,,"LECO"
2022-03-29,"leconte creek neon",35.692201,-83.504427,"Stream","Insecta","Animalia","Diptera","Chironomidae",,"pupa",,56.3,"percent_dm",9.1,"percent_dm",,,7.21794872,,,"LECO"
2022-03-29,"leconte creek neon",35.692201,-83.504427,"Stream","Insecta","Animalia","Ephemeroptera","Ephemerellidae","Ephemerella","larva",,50.8,"percent_dm",5.3,"percent_dm",,,11.18238994,,,"LECO"
2022-03-29,"leconte creek neon",35.692201,-83.504427,"Stream","Insecta","Animalia","Ephemeroptera","Baetidae","Acentrella","larva",,57,"percent_dm",7.8,"percent_dm",,,8.52564103,,,"LECO"
2022-03-29,"leconte creek neon",35.692201,-83.504427,"Stream","Insecta","Animalia","Diptera","Chironomidae",,"larva",,52.2,"percent_dm",10.2,"percent_dm",,,5.97058824,,,"LECO"
2022-03-29,"leconte creek neon",35.692201,-83.504427,"Stream","Insecta","Animalia","Diptera","Chironomidae",,"larva",,49.3,"percent_dm",10.1,"percent_dm",,,5.69471947,,,"LECO"
2022-03-29,"leconte creek neon",35.692201,-83.504427,"Stream","Insecta","Animalia","Trichoptera","Hydropsychidae","Cheumatopsyche","larva",,54.7,"percent_dm",8.9,"percent_dm",,,7.17041199,,,"LECO"
2022-03-28,"mcdiffett creek neon",38.946553,-96.442948,"Stream","Insecta","Animalia","Diptera","Limoniidae","Hexatoma","larva",,44.5,"percent_dm",10.5,"percent_dm",,,4.94444444,,,"MCDI"
2022-03-28,"mcdiffett creek neon",38.946553,-96.442948,"Stream","Insecta","Animalia","Plecoptera","Perlidae","Perlesta","larva",,42.7,"percent_dm",5.9,"percent_dm",,,8.44350282,,,"MCDI"
2022-03-28,"mcdiffett creek neon",38.946553,-96.442948,"Stream","Insecta","Animalia","Ephemeroptera","Caenidae","Caenis","larva",,43.1,"percent_dm",8.6,"percent_dm",,,5.84689922,,,"MCDI"
2022-03-28,"mcdiffett creek neon",38.946553,-96.442948,"Stream","Insecta","Animalia","Diptera","Chironomidae",,"larva",,46.1,"percent_dm",7.8,"percent_dm",,,6.89529915,,,"MCDI"
2022-03-28,"mcdiffett creek neon",38.946553,-96.442948,"Stream","Insecta","Animalia","Coleoptera","Hydrophilidae","Berosus","larva",,46.2,"percent_dm",9.6,"percent_dm",,,5.61458333,,,"MCDI"
2022-03-28,"mcdiffett creek neon",38.946553,-96.442948,"Stream","Insecta","Animalia","Trichoptera","Hydropsychidae","Cheumatopsyche","larva",,49.9,"percent_dm",11.1,"percent_dm",,,5.24474475,,,"MCDI"
2022-03-21,"posey creek neon",38.89431,-78.147258,"Stream","Insecta","Animalia","Plecoptera","Perlidae","Acroneuria","larva",,51.6,"percent_dm",11.6,"percent_dm",0.28,"percent_dm",5.18965517,476.07142857,91.73469388,"POSE"
2022-03-21,"posey creek neon",38.89431,-78.147258,"Stream","Insecta","Animalia","Plecoptera","Perlodidae","Isoperla","larva",,45.8,"percent_dm",9.1,"percent_dm",,,5.87179487,,,"POSE"
2022-03-21,"posey creek neon",38.89431,-78.147258,"Stream","Insecta","Animalia","Ephemeroptera","Heptageniidae","Maccaffertium","larva",,51.8,"percent_dm",9.9,"percent_dm",0.31,"percent_dm",6.1043771,431.66666667,70.71428571,"POSE"
2022-03-21,"posey creek neon",38.89431,-78.147258,"Stream","Insecta","Animalia","Trichoptera","Hydropsychidae","Cheumatopsyche","larva",,56.2,"percent_dm",9.3,"percent_dm",,,7.05017921,,,"POSE"
2022-03-21,"posey creek neon",38.89431,-78.147258,"Stream","Insecta","Animalia","Trichoptera","Hydropsychidae","Diplectrona","larva",,49.9,"percent_dm",7.1,"percent_dm",,,8.19953052,,,"POSE"
2022-03-21,"posey creek neon",38.89431,-78.147258,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Optioservus","larva","average of all individuals",51.7,"percent_dm",7.3,"percent_dm",0.15,"percent_dm",8.26255708,890.38888889,107.76190476,"POSE"
2022-03-21,"posey creek neon",38.89431,-78.147258,"Stream","Insecta","Animalia","Ephemeroptera","Leptophlebiidae","Neoleptophlebia","larva",,53.4,"percent_dm",6.1,"percent_dm",,,10.21311475,,,"POSE"
2022-03-15,"mayfield creek neon",32.961588,-87.408223,"Stream","Insecta","Animalia","Diptera","Chironomidae",,"larva",,45.1,"percent_dm",8.7,"percent_dm",0.34,"percent_dm",6.04789272,342.67156863,56.65966387,"MAYF"
2022-03-15,"walker branch neon",35.956053,-84.278692,"Stream","Insecta","Animalia","Coleoptera","Psephenidae","Psephenus","larva","average of all individuals",44.3,"percent_dm",10.1,"percent_dm",0.342,"percent_dm",5.11716172,334.62475634,65.39264829,"WALK"
2022-03-15,"walker branch neon",35.956053,-84.278692,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Oulimnius","adult","average of all individuals",50.8,"percent_dm",9.8,"percent_dm",0.135,"percent_dm",6.04761905,972.09876543,160.74074074,"WALK"
2022-03-15,"walker branch neon",35.956053,-84.278692,"Stream","Insecta","Animalia","Plecoptera","Peltoperlidae","Tallaperla","larva",,48.6,"percent_dm",8.4,"percent_dm",0.6,"percent_dm",6.75,209.25,31,"WALK"
2022-03-15,"walker branch neon",35.956053,-84.278692,"Stream","Insecta","Animalia","Trichoptera","Hydropsychidae","Diplectrona","larva","average of all individuals",45.5,"percent_dm",6.8,"percent_dm",1.133,"percent_dm",7.80637255,103.74374816,13.289623,"WALK"
2022-03-15,"walker branch neon",35.956053,-84.278692,"Stream","Insecta","Animalia","Trichoptera","Glossosomatidae","Agapetus","larva",,56.5,"percent_dm",8,"percent_dm",,,8.23958333,,,"WALK"
2022-02-01,"rio yahuecas neon",18.174359,-66.800063,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Neoelmis","adult",,49.3,"percent_dm",10.2,"percent_dm",,,5.63888889,,,"GUIL"
2022-02-01,"rio yahuecas neon",18.174359,-66.800063,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Hexacylloepus","larva",,49.3,"percent_dm",10.4,"percent_dm",,,5.53044872,,,"GUIL"
2022-02-01,"rio yahuecas neon",18.174359,-66.800063,"Stream","Insecta","Animalia","Hemiptera","Veliidae","Rhagovelia",,,56.3,"percent_dm",9.3,"percent_dm",,,7.06272401,,,"GUIL"
2022-02-01,"rio yahuecas neon",18.174359,-66.800063,"Stream","Insecta","Animalia","Lepidoptera","Crambidae","Petrophila","larva",,49.3,"percent_dm",12.2,"percent_dm",,,4.71448087,,,"GUIL"
2022-02-01,"rio yahuecas neon",18.174359,-66.800063,"Stream","Insecta","Animalia","Coleoptera","Staphylinidae",,"adult",,55.6,"percent_dm",9.7,"percent_dm",,,6.68728522,,,"GUIL"
2022-02-01,"rio yahuecas neon",18.174359,-66.800063,"Stream","Insecta","Animalia","Trichoptera","Hydrobiosidae","Atopsyche","larva",,51,"percent_dm",11,"percent_dm",,,5.40909091,,,"GUIL"
2022-02-01,"rio yahuecas neon",18.174359,-66.800063,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Phanocerus","adult",,50.9,"percent_dm",10.2,"percent_dm",,,5.82189543,,,"GUIL"
2022-02-01,"rio yahuecas neon",18.174359,-66.800063,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Hexacylloepus","adult",,50.1,"percent_dm",11.6,"percent_dm",,,5.0387931,,,"GUIL"
2022-02-01,"rio yahuecas neon",18.174359,-66.800063,"Stream","Insecta","Animalia","Diptera","Blephariceridae","Paltostoma","larva",,45.6,"percent_dm",10.4,"percent_dm",,,5.11538461,,,"GUIL"
2022-02-01,"rio yahuecas neon",18.174359,-66.800063,"Stream","Insecta","Animalia","Diptera","Simuliidae","Simulium","larva",,44.8,"percent_dm",9.9,"percent_dm",,,5.27946128,,,"GUIL"
2022-02-01,"rio yahuecas neon",18.174359,-66.800063,"Stream","Insecta","Animalia","Ephemeroptera","Leptophlebiidae","Neohagenulus","larva",,44.6,"percent_dm",9.7,"percent_dm",,,5.36426117,,,"GUIL"
2022-01-26,"rio cupeyes neon",18.110265,-66.986411,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Neoelmis","adult",,49.3,"percent_dm",10.7,"percent_dm",,,5.37538941,,,"CUPE"
2022-01-26,"rio cupeyes neon",18.110265,-66.986411,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Neoelmis","larva",,52.6,"percent_dm",8.6,"percent_dm",,,7.13565891,,,"CUPE"
2022-01-26,"rio cupeyes neon",18.110265,-66.986411,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Hexacylloepus","adult",,50.5,"percent_dm",10.8,"percent_dm",,,5.45524691,,,"CUPE"
2022-01-26,"rio cupeyes neon",18.110265,-66.986411,"Stream","Insecta","Animalia","Ephemeroptera","Leptophlebiidae","Neohagenulus","larva",,46.4,"percent_dm",5.8,"percent_dm",,,9.33333333,,,"CUPE"
2022-01-26,"rio cupeyes neon",18.110265,-66.986411,"Stream","Insecta","Animalia","Lepidoptera","Crambidae","Petrophila","larva",,44.7,"percent_dm",11.6,"percent_dm",,,4.49568965,,,"CUPE"
2021-11-23,"rio yahuecas neon",18.174359,-66.800063,"Stream","Insecta","Animalia","Lepidoptera","Crambidae","Petrophila","larva","average of all individuals",41.7,"percent_dm",10.8,"percent_dm",0.864,"percent_dm",4.50462963,124.68171296,27.67857143,"GUIL"
2021-11-23,"rio yahuecas neon",18.174359,-66.800063,"Stream","Insecta","Animalia","Trichoptera","Hydrobiosidae","Atopsyche","larva","average of all individuals",50.1,"percent_dm",11.8,"percent_dm",0.47,"percent_dm",4.95338983,275.37234043,55.59270517,"GUIL"
2021-11-23,"rio yahuecas neon",18.174359,-66.800063,"Stream","Insecta","Animalia","Diptera","Simuliidae","Simulium","larva","average of all individuals",39.7,"percent_dm",8.9,"percent_dm",0.91,"percent_dm",5.20411985,112.7014652,21.65620094,"GUIL"
2021-11-23,"rio yahuecas neon",18.174359,-66.800063,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Hexacylloepus","adult","average of all individuals",49,"percent_dm",10.5,"percent_dm",0.483,"percent_dm",5.44444444,262.07729469,48.13664596,"GUIL"
2021-11-23,"rio yahuecas neon",18.174359,-66.800063,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Phanocerus","adult",,47.6,"percent_dm",10.2,"percent_dm",0.37,"percent_dm",5.44444444,332.34234234,61.04247104,"GUIL"
2021-11-23,"rio yahuecas neon",18.174359,-66.800063,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Neoelmis","adult",,49.2,"percent_dm",10.1,"percent_dm",0.467,"percent_dm",5.68316832,272.1627409,47.88926277,"GUIL"
2021-11-23,"rio yahuecas neon",18.174359,-66.800063,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Hexacylloepus","larva",,51.1,"percent_dm",8.9,"percent_dm",0.29,"percent_dm",6.69850187,455.20114943,67.95566502,"GUIL"
